"","Group","Protein","Log2_FC","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Abundance","Significance"
"63","CR-A:AL-A","CFAI",0.132524085504825,-22,228.666666666667,250.666666666667,-1.54579038360264,0.209060751687717,3.40905829343413,-64.3686011651298,20.3686011651298,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"64","CR-A:AL-A","CHLE",-0.127379306476228,2,23.6666666666667,21.6666666666667,0.572077553547355,0.614137128441157,2.52662351221549,-10.4033854507391,14.4033854507391,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"65","CR-A:AL-A","CLC11",0.556393348524385,-5.33333333333333,11.3333333333333,16.6666666666667,-2.1380899352994,0.137453953990807,2.56,-14.1023308141944,3.43566414752771,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"66","CR-A:AL-A","CLUS",0.162033458582315,-15.3333333333333,129,144.333333333333,-4.28952211790545,0.0191747845530955,3.29923911687664,-26.1473050661673,-4.51936160049943,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"67","CR-A:AL-A","CO1A1",1.65535182861255,-14.3333333333333,6.66666666666667,21,-5.79811881718388,0.00988003090638088,3.03562468640241,-22.1485774024848,-6.5180892641819,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.01"
"68","CR-A:AL-A","CO1A2",1.40209844357135,-7.66666666666667,4.66666666666667,12.3333333333333,-2.78915968791783,0.060402354984442,3.34829833454019,-15.9214592343049,0.588125900971532,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"69","CR-A:AL-A","CO2",0.250543461650597,-11,58,69,-1.61023512036508,0.236850297989111,2.20994475138122,-37.8725405953352,15.8725405953352,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"70","CR-A:AL-A","CO3",0.233789586057937,-350.666666666667,1993.33333333333,2344,-2.9120165908249,0.0621974348538566,2.98801578772448,-734.769642225784,33.4363088924506,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"71","CR-A:AL-A","CO4B",0.444652806335377,-107.333333333333,297.333333333333,404.666666666667,-3.4411451768143,0.0262695160065738,3.9996826026996,-193.93660617645,-20.7300604902169,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"72","CR-A:AL-A","CO5",0.211214872024963,-47.6666666666667,302.333333333333,350,-2.12511691634301,0.100768371303665,3.99951232082423,-109.945709671533,14.6123763382001,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"73","CR-A:AL-A","CO8A",0,0,162,162,0,1,3.92475615420344,-13.0219519199469,13.0219519199469,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"74","CR-A:AL-A","CO8B",0.209770336967342,-25.6666666666667,164,189.666666666667,-4.70352360771775,0.00941021734177068,3.97784669915818,-40.8507899072774,-10.4825434260559,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"75","CR-A:AL-A","CO8G",0.207442079870476,-10,64.6666666666667,74.6666666666667,-1.31812432549124,0.258192384096574,3.9807729396929,-31.1037894094004,11.1037894094004,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"76","CR-A:AL-A","CO9",0.477260014361702,-43,109.666666666667,152.666666666667,-3.39004473641826,0.054162470472949,2.56,-87.5902813631303,1.59028136313031,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"77","CR-A:AL-A","COF1",0.285402218862248,-2.33333333333333,10.6666666666667,13,-1.20049009599756,0.31683492280673,2.97172236503856,-8.55232866368479,3.88566199701813,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"78","CR-A:AL-A","CPN2",0.343778816109022,-22.3333333333333,83,105.333333333333,-4.78571428571429,0.0265578545755296,2.47318611987382,-39.1451692749128,-5.52149739175385,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"79","CR-A:AL-A","CRP",0.184424571137428,-5,36.6666666666667,41.6666666666667,-1.43019388386839,0.226701100254246,3.95295655014701,-14.7522612666734,4.75226126667339,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"80","CR-A:AL-A","CS1A",0.327574658028504,-21.6666666666667,85,106.666666666667,-2.21006630298365,0.121549423303325,2.76824578182202,-54.3971752943038,11.0638419609704,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"81","CR-A:AL-A","CSF1R",0.442782489761748,-12.3333333333333,34.3333333333333,46.6666666666667,-3.06214178782876,0.0430350288898706,3.60982218458933,-24.0091778732634,-0.657488793403253,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"82","CR-A:AL-A","CTRB1",-0.459431618637297,2,7.33333333333333,5.33333333333333,1.11417202906231,0.374507926977199,2.14267515923567,-5.25100198864322,9.25100198864322,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"83","CR-A:AL-A","CYTC",1.45251220469751,-11,6.33333333333333,17.3333333333333,-4.9749371855331,0.011299617761611,3.42654867256637,-17.5661555175089,-4.43384448249112,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.05"
"84","CR-A:AL-A","DIAC",-0.0801703486839835,0.666666666666668,12.3333333333333,11.6666666666667,0.254000254000381,0.812462673340558,3.8555667001003,-6.72951732028145,8.06285065361478,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"85","CR-A:AL-A","DPEP2",-0.180572245641821,1.33333333333333,11.3333333333333,10,0.468164588784522,0.668157764444408,3.38887122416534,-7.16938875636063,9.83605542302729,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"86","CR-A:AL-A","ECM1",-0.636723928410898,27,75.6666666666667,48.6666666666667,5.02340675086294,0.00921590340280799,3.6697247706422,11.5321572472184,42.4678427527816,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"87","CR-A:AL-A","EF1A1",0.485426827170242,-2.66666666666667,6.66666666666667,9.33333333333333,-1.24939009510885,0.287996593731343,3.52780692549843,-8.91895582801945,3.58562249468612,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
